N,C_min,C_min_err,alpha_min,alpha_min_err,R2_min,C_mean,C_mean_err,alpha_mean,alpha_mean_err,R2_mean,Q_boundary_mean_abs_error,Q_boundary_max_abs_error
16,0.9370173318347779,0.05237648674803994,1.5512694949920247,0.033615475386633016,0.9962574674460996,0.9324377900533867,0.05324783162428035,1.5611477741220237,0.034342553071728094,0.9961435381730709,1.899793122539517e-07,3.8385252665307235e-07
24,0.9197355839756282,0.05412789372019604,1.6218089688991226,0.03539228934283223,0.9962046096423491,0.9176431111556902,0.053708560440395986,1.6292488088355794,0.03519818105119225,0.9962800505482081,1.970203518719682e-07,4.0251999777751735e-07
32,0.9143312131312488,0.05399965227909473,1.653208436746272,0.0355171357270088,0.9963211677217335,0.9106747814954167,0.05431068911500719,1.6621990921292986,0.03586513918486034,0.9962893121860107,1.7328991077092405e-07,3.3976590785300687e-07
