N,Q_target,n_seeds,E_min,E_mean,E_std,E_median,E_max,best_seed_id,best_geometry,best_Q_boundary,Q_boundary_mean_abs_error,Q_boundary_max_abs_error
16,1,8,0.9055397620895236,0.9055397620895236,0.0,0.9055397620895236,0.9055397620895236,0,single-core,1.0000000324887013,3.248870128480519e-08,3.248870128480519e-08
16,2,8,3.1491731063140094,3.158806513213022,0.003990742577436954,3.1604273883009,3.161111079000398,7,single-core,2.000000061013851,5.804346370208435e-08,6.441453992422908e-08
16,3,8,4.827346545095861,4.829902201106039,0.003699119687066776,4.829030417977447,4.838841738604606,1,single-core,3.0000001052286556,1.0152432589061178e-07,1.1201122074311343e-07
16,4,8,7.120635160188977,7.148624858811371,0.019482761339910677,7.150138020509712,7.174258133136573,2,triangular/three-core,4.0000001435169805,1.27777034952814e-07,1.435169805219516e-07
16,5,8,11.568177772290301,11.678867077959811,0.04557105933850329,11.692989796056493,11.707953906228068,6,double-core,5.000000132512447,1.429639371330893e-07,1.5916843931762514e-07
16,6,8,15.937099324264501,16.222854655769446,0.2020256197425357,16.31887680168475,16.403880110368846,2,triangular/three-core,6.000000204192074,2.3159524598082015e-07,2.5997829400381534e-07
16,7,8,19.67125824040377,19.779292697164806,0.109673688850595,19.764058342545106,19.939952867389096,4,triangular/three-core,7.000000245921243,2.401308686339476e-07,2.7842779370956805e-07
16,8,8,23.44813944132111,23.738852034832185,0.2305145994821351,23.72452520629286,24.060594748520636,0,6-core/extended,8.000000334148865,3.248767515007245e-07,3.465563498394886e-07
16,9,8,28.75320363574647,29.327124913625653,0.24921483356897497,29.38690540584853,29.520898108779512,7,6-core/extended,9.000000356134233,3.208170640256469e-07,3.5613423321478876e-07
16,10,8,32.64406666429331,33.56593700762704,0.6141716094481258,33.77569590089732,34.12718021468318,2,7-core/extended,10.000000281583567,3.1957572943497325e-07,3.8385252665307235e-07
24,1,8,0.9165438428555603,0.9165438428555603,0.0,0.9165438428555603,0.9165438428555603,0,single-core,1.0000000349293778,3.4929377834558295e-08,3.4929377834558295e-08
24,2,8,3.2186053823990735,3.225583065490037,0.003299543802089451,3.227156180956536,3.227652150125505,3,single-core,2.000000057546517,6.627006526871426e-08,7.909599597510919e-08
24,3,8,5.038461564312456,5.042053845584734,0.004145892853085429,5.040160620341158,5.0506350212612805,1,single-core,3.000000097571004,9.396473354961188e-08,1.1753994444418936e-07
24,4,8,7.538904063791597,7.617377295510926,0.04496384827741196,7.633149820783638,7.655640616283927,6,triangular/three-core,4.000000153506781,1.3745861549008254e-07,1.5350678062020506e-07
24,5,8,12.567936708450588,12.623018411456423,0.043279759438201025,12.604998173786226,12.686653292961546,3,triangular/three-core,5.000000165129834,1.5853027057755043e-07,1.7281994058038208e-07
24,6,8,17.739471185296317,17.903337133259743,0.09515306269256263,17.941625207717152,18.01494519308908,2,triangular/three-core,6.000000171583656,1.90612679862312e-07,2.0058939931288933e-07
24,7,8,21.35561592610393,22.050916645699136,0.2870194553417718,22.125212153501707,22.28244532542294,3,triangular/three-core,7.000000280623534,2.5617570631464304e-07,2.80623534187896e-07
24,8,8,26.90261625747371,27.03762540337288,0.11961061000335706,27.013977964979723,27.21850394287467,7,6-core/extended,8.000000328211991,2.891894346213064e-07,3.282119909187031e-07
24,9,8,33.62972245981764,33.91530852271594,0.19368950116453687,33.92424133051573,34.23710656551557,7,6-core/extended,9.000000350099478,3.633196969943242e-07,3.9551525077285987e-07
24,10,8,39.052668449996055,39.733937208349644,0.4304170933557496,39.84635733619726,40.31325163843576,2,7-core/extended,10.000000402519998,3.7975293820657896e-07,4.0251999777751735e-07
32,1,8,0.9216069507234181,0.9216069507234181,0.0,0.9216069507234181,0.9216069507234181,0,single-core,1.0000000314086404,3.140864035522384e-08,3.140864035522384e-08
32,2,8,3.240991891164049,3.2574960401582236,0.00670578586794973,3.2599343150678584,3.2608151176929825,3,single-core,2.000000061264624,5.4398352211659784e-08,7.627892983919082e-08
32,3,8,5.145293755069543,5.149563465450426,0.004865939706455646,5.146552580903154,5.156696781389326,1,single-core,3.000000114082508,1.0401704064744166e-07,1.1540988120728457e-07
32,4,8,7.791271408952707,7.870489624379308,0.042700690926616214,7.891473791331555,7.904276118671987,6,triangular/three-core,4.000000123248312,1.227802198799921e-07,1.371385023318794e-07
32,5,8,13.0469333658516,13.095288668564661,0.049949682782696,13.069958785243216,13.17157548200339,3,triangular/three-core,5.000000175311846,1.6761190002601012e-07,1.846380861536545e-07
32,6,8,18.46557786202775,18.67909856727231,0.11510157935192666,18.734772754119334,18.77600627537795,2,triangular/three-core,6.000000204407149,1.9202690881847673e-07,2.0440714898484202e-07
32,7,8,23.327674303375534,23.403068908605906,0.07384921033306496,23.37177857987554,23.538585446221987,5,triangular/three-core,7.000000226283817,2.2557140633150397e-07,2.374954073403046e-07
32,8,8,28.44446207596502,28.86108380421861,0.2034810529458976,28.87362082938853,29.161457058836277,2,5-core/extended,8.000000216576963,2.3531019799349906e-07,2.550161113390459e-07
32,9,8,36.12142173186476,36.49245254942898,0.1996461487472762,36.51410008428502,36.79462780305803,6,7-core/extended,9.000000278002949,2.931278453299768e-07,3.12351700060276e-07
32,10,8,41.29937716745917,42.835512459272216,0.8829332920396811,43.389417860090454,43.515795668070496,2,8-core/extended,10.00000029618809,3.066465961154563e-07,3.3976590785300687e-07
